Masalah_Kulit,Ingredient,Manfaat
Hiperpigmentasi,Lactic Acid,Eksfoliator AHA yang lebih lembut. Membantu mengangkat sel kulit mati berpigmen dan mencerahkan warna kulit secara bertahap.
Jerawat,Salicylic Acid,"BHA (Beta Hydroxy Acid). Mampu menembus minyak (larut dalam minyak) dan masuk ke dalam pori-pori untuk membersihkan sumbatan, mengurangi komedo, dan bersifat anti-inflamasi."
Jerawat,Zinc PCA,Membantu mengontrol produksi sebum (minyak) berlebih dan memiliki sifat anti-mikroba yang membantu melawan bakteri penyebab jerawat (P. acnes).
Jerawat,Zinc Oxide,"Bekerja sebagai skin protectant (pelindung kulit) dan memiliki sifat anti-inflamasi serta astringen ringan, membantu menenangkan jerawat yang meradang dan mengeringkannya."
Jerawat,Azelaic Acid,"Memiliki sifat anti-bakteri untuk melawan P. acnes, anti-inflamasi untuk meredakan jerawat meradang, dan membantu menormalkan keratinisasi (pergantian sel kulit) untuk mencegah pori tersumbat."
Kerutan,Retinol ,"Merupakan standar emas anti-aging. Bekerja dengan mempercepat pergantian sel dan merangsang produksi kolagen, sehingga menghaluskan garis halus dan kerutan."
Kerutan,Retinaldehyde ,Lebih kuat dari Retinol. Merangsang produksi kolagen secara efektif untuk mengurangi tampilan garis halus dan kerutan dengan potensi iritasi lebih rendah dibanding Tretinoin.
Kerutan,Bakuchiol,"Alternatif Retinol yang berasal dari tumbuhan. Bekerja mirip dengan retinol dalam merangsang kolagen dan memperbaiki tanda penuaan, tetapi jauh lebih lembut di kulit."
Kerutan,Hyaluronic Acid,"Menghidrasi kulit secara intensif dengan menarik dan menahan air. Kulit yang terhidrasi dengan baik akan tampak lebih 'plump' (kenyal), sehingga garis-garis halus tersamarkan."
Kerutan,Sodium Hyaluronate,Bentuk garam dari Hyaluronic Acid dengan molekul lebih kecil. Menyerap lebih dalam untuk memberikan hidrasi dan efek plumping yang menyamarkan kerutan.
Kerutan,Palmitoyl Tripeptide-1,"Sebuah peptida (potongan protein) yang memberi sinyal pada kulit untuk memproduksi lebih banyak kolagen, sehingga membantu mengencangkan kulit dan mengurangi kerutan."
Kerutan,Tocopherol,Antioksidan yang melindungi kulit dari kerusakan radikal bebas (penyebab utama penuaan dini) dan membantu menjaga kelembapan serta elastisitas kulit.
Kerutan,Ascorbic Acid,Sangat penting untuk sintesis kolagen. Membantu menjaga kekencangan kulit dan melindungi dari kerusakan akibat matahari yang menyebabkan penuaan dini dan kerutan.
